epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,381.449,0.91452,1.08811,0.88431,0.01261,0.66667,0.219,0.14015,1.04052,3.43214,0.88109,0.000451382,0.000451382,0.000451382
44,388.962,0.94445,1.05374,0.89895,0.78691,0.2,0.21659,0.14424,1.03319,3.34311,0.89503,0.000454174,0.000454174,0.000454174
45,396.717,0.81574,1.02205,0.88068,0.78691,0.2,0.21659,0.14424,1.03319,3.34311,0.89503,0.000456605,0.000456605,0.000456605
46,404.563,0.91533,1.01344,0.87151,0.78543,0.2,0.23675,0.13815,1.0021,3.3071,0.8985,0.000458677,0.000458677,0.000458677
47,412.187,0.86582,1.03281,0.91126,0.78543,0.2,0.23675,0.13815,1.0021,3.3071,0.8985,0.000460389,0.000460389,0.000460389
48,419.753,0.91076,1.05404,0.89518,0.5961,0.23609,0.26057,0.15482,0.98676,3.33974,0.88499,0.00046174,0.00046174,0.00046174
49,427.345,0.99364,1.02213,0.91744,0.5961,0.23609,0.26057,0.15482,0.98676,3.33974,0.88499,0.000462732,0.000462732,0.000462732
50,434.757,0.86222,0.98691,0.87654,0.40442,0.27575,0.26089,0.1711,1.0003,3.35128,0.89412,0.000463364,0.000463364,0.000463364
51,442.309,0.93876,1.01484,0.88217,0.40442,0.27575,0.26089,0.1711,1.0003,3.35128,0.89412,0.000459045,0.000459045,0.000459045
52,449.997,0.90623,1.11504,0.90233,0.40642,0.36339,0.259,0.16052,1.12864,3.42525,0.93574,0.000450046,0.000450046,0.000450046
53,457.798,0.86057,1.01536,0.89993,0.40642,0.36339,0.259,0.16052,1.12864,3.42525,0.93574,0.000441047,0.000441047,0.000441047
54,465.868,0.82408,1.02869,0.90502,0.40113,0.28718,0.25933,0.16518,1.0647,3.43928,0.92685,0.000432048,0.000432048,0.000432048
55,473.569,0.88652,1.05392,0.88627,0.40113,0.28718,0.25933,0.16518,1.0647,3.43928,0.92685,0.000423049,0.000423049,0.000423049
56,481.172,0.86408,0.99685,0.87495,0.39622,0.24775,0.26,0.18268,0.99856,3.34179,0.90741,0.000414049,0.000414049,0.000414049
57,488.998,0.84015,0.92499,0.86742,0.39622,0.24775,0.26,0.18268,0.99856,3.34179,0.90741,0.00040505,0.00040505,0.00040505
58,496.804,0.90358,1.01091,0.89166,0.39468,0.2,0.25038,0.16961,1.02566,3.23748,0.92004,0.000396051,0.000396051,0.000396051
59,504.617,0.85219,0.96502,0.86493,0.39468,0.2,0.25038,0.16961,1.02566,3.23748,0.92004,0.000387052,0.000387052,0.000387052
60,512.258,0.86921,1.00632,0.87445,0.59691,0.2,0.2508,0.15934,1.05739,3.1638,0.93548,0.000378053,0.000378053,0.000378053
61,520.113,0.90095,0.97173,0.89906,0.59691,0.2,0.2508,0.15934,1.05739,3.1638,0.93548,0.000369054,0.000369054,0.000369054
62,527.635,0.85399,0.95998,0.86601,0.40421,0.34879,0.25963,0.15825,1.0674,3.13405,0.93299,0.000360055,0.000360055,0.000360055
63,535.455,0.76351,0.90119,0.8599,0.40421,0.34879,0.25963,0.15825,1.0674,3.13405,0.93299,0.000351056,0.000351056,0.000351056
64,543.446,0.8112,0.87688,0.88286,0.40617,0.35825,0.26012,0.16766,1.12178,3.13471,0.96666,0.000342057,0.000342057,0.000342057
65,551.032,0.78294,1.0379,0.86694,0.40617,0.35825,0.26012,0.16766,1.12178,3.13471,0.96666,0.000333058,0.000333058,0.000333058
66,558.579,0.89208,0.91904,0.89152,0.40782,0.35966,0.26083,0.15748,1.19926,3.16492,0.99752,0.000324058,0.000324058,0.000324058
67,566.288,0.84691,0.91169,0.88198,0.40782,0.35966,0.26083,0.15748,1.19926,3.16492,0.99752,0.000315059,0.000315059,0.000315059
68,574.582,0.78076,0.88193,0.8562,0.41008,0.36306,0.26128,0.14388,1.26575,3.18956,1.01557,0.00030606,0.00030606,0.00030606
69,583.046,0.81791,0.91037,0.83971,0.41008,0.36306,0.26128,0.14388,1.26575,3.18956,1.01557,0.000297061,0.000297061,0.000297061
70,590.723,0.77893,0.87824,0.85892,0.4099,0.36443,0.25911,0.16598,1.16541,3.20001,0.9625,0.000288062,0.000288062,0.000288062
71,598.385,0.81237,0.92252,0.87982,0.4099,0.36443,0.25911,0.16598,1.16541,3.20001,0.9625,0.000279063,0.000279063,0.000279063
72,606.377,0.73797,0.88334,0.84732,0.4081,0.36846,0.25918,0.18592,1.04142,3.21165,0.90979,0.000270064,0.000270064,0.000270064
73,613.996,0.8123,0.88983,0.86934,0.4081,0.36846,0.25918,0.18592,1.04142,3.21165,0.90979,0.000261065,0.000261065,0.000261065
74,622.256,0.85171,0.98233,0.86916,0.39576,0.2,0.25002,0.17537,1.07151,3.16548,0.92044,0.000252066,0.000252066,0.000252066
75,630.399,0.78236,0.92664,0.85381,0.39576,0.2,0.25002,0.17537,1.07151,3.16548,0.92044,0.000243067,0.000243067,0.000243067
76,638.444,0.82111,0.91807,0.86101,0.39638,0.2,0.24732,0.16442,1.15566,3.14289,0.94798,0.000234068,0.000234068,0.000234068
77,646.223,0.82064,0.93388,0.87933,0.39638,0.2,0.24732,0.16442,1.15566,3.14289,0.94798,0.000225068,0.000225068,0.000225068
78,653.939,0.83354,0.88889,0.8705,0.5968,0.2,0.24999,0.16659,1.15827,3.13838,0.95142,0.000216069,0.000216069,0.000216069
79,662.016,0.7751,0.87747,0.86046,0.5968,0.2,0.24999,0.16659,1.15827,3.13838,0.95142,0.00020707,0.00020707,0.00020707
80,670.492,0.79995,0.98842,0.88124,0.59696,0.2,0.25172,0.17986,1.0959,3.16113,0.92845,0.000198071,0.000198071,0.000198071
81,678.115,0.81733,0.84832,0.86565,0.59696,0.2,0.25172,0.17986,1.0959,3.16113,0.92845,0.000189072,0.000189072,0.000189072
82,686.436,0.78421,0.87605,0.84849,0.59717,0.2,0.25565,0.183,1.06888,3.14466,0.91362,0.000180073,0.000180073,0.000180073
83,696.936,0.7769,0.81901,0.8579,0.59717,0.2,0.25565,0.183,1.06888,3.14466,0.91362,0.000171074,0.000171074,0.000171074
84,705.325,0.67544,0.84603,0.82108,0.59735,0.2,0.2661,0.18569,1.04875,3.12632,0.90589,0.000162075,0.000162075,0.000162075
85,713.379,0.73274,0.85845,0.85338,0.59735,0.2,0.2661,0.18569,1.04875,3.12632,0.90589,0.000153076,0.000153076,0.000153076
86,721.034,0.72212,0.82371,0.86161,0.59743,0.2,0.27186,0.18293,1.02751,3.11062,0.91315,0.000144077,0.000144077,0.000144077
87,728.574,0.76376,0.85325,0.87192,0.59743,0.2,0.27186,0.18293,1.02751,3.11062,0.91315,0.000135077,0.000135077,0.000135077
88,736.121,0.8129,0.85947,0.90027,0.59745,0.2,0.27849,0.1796,1.03503,3.12987,0.91935,0.000126078,0.000126078,0.000126078
89,743.848,0.78826,0.89957,0.86454,0.59745,0.2,0.27849,0.1796,1.03503,3.12987,0.91935,0.000117079,0.000117079,0.000117079
90,752.108,0.81185,0.86058,0.85244,0.59752,0.2,0.27295,0.18284,1.01127,3.1411,0.91746,0.00010808,0.00010808,0.00010808
91,760.468,0.76434,1.10886,0.84145,0.59752,0.2,0.27295,0.18284,1.01127,3.1411,0.91746,9.9081e-05,9.9081e-05,9.9081e-05
92,768.398,0.86733,1.14271,0.8636,0.59758,0.2,0.27561,0.1883,0.95927,3.12713,0.90786,9.00819e-05,9.00819e-05,9.00819e-05
93,776.381,0.74536,1.08542,0.8878,0.59758,0.2,0.27561,0.1883,0.95927,3.12713,0.90786,8.10828e-05,8.10828e-05,8.10828e-05
94,783.821,0.73973,1.10525,0.84613,0.59762,0.2,0.27477,0.18703,0.92902,3.11427,0.8986,7.20837e-05,7.20837e-05,7.20837e-05
95,792.007,0.73682,1.12806,0.8332,0.59762,0.2,0.27477,0.18703,0.92902,3.11427,0.8986,6.30846e-05,6.30846e-05,6.30846e-05
96,799.947,0.76083,1.1294,0.83089,0.5976,0.2,0.28582,0.20109,0.93446,3.10887,0.8947,5.40855e-05,5.40855e-05,5.40855e-05
97,807.381,0.71817,1.11018,0.86031,0.5976,0.2,0.28582,0.20109,0.93446,3.10887,0.8947,4.50864e-05,4.50864e-05,4.50864e-05
98,815.033,0.76137,1.10635,0.88707,0.40646,0.37652,0.30263,0.20971,0.94712,3.1037,0.89355,3.60873e-05,3.60873e-05,3.60873e-05
99,822.54,0.67327,1.00509,0.82802,0.40646,0.37652,0.30263,0.20971,0.94712,3.1037,0.89355,2.70882e-05,2.70882e-05,2.70882e-05
100,830.076,0.69677,1.06625,0.8428,0.40634,0.37629,0.30272,0.20997,0.95496,3.10474,0.89492,1.80891e-05,1.80891e-05,1.80891e-05
